Nome;Modelo;Valor c desc;Valor s desc;Porcentagem desc;Avaliacao; 
Camiseta Nike Essential Masculina;Basquete;R$ 237,49 no Pix;R$ 249,99;5% off;4.3;
Camiseta Nike Liverpool Club Essential Masculina;Futebol;R$ 189,99 no Pix;R$ 199,99;5% off;5.0;
Camiseta Nike Dri-FIT Masculina;Treino & Academia;R$ 208,99 no Pix;R$ 329,99;37% off;;
Camiseta Nike Sportswear Tech Pack Masculina;Casual;R$ 313,49 no Pix;R$ 479,99;35% off;5.0;
Camiseta Nike Dri-FIT LeBron Masculina;Basquete;R$ 142,49 no Pix;R$ 249,99;43% off;5.0;
Camiseta Nike Dri-FIT ADV Masculina;Treino & Academia;R$ 341,99 no Pix;R$ 449,99;24% off;4.3;
Shorts Nike Club Woven Masculino;Casual;R$ 360,99 no Pix;R$ 379,99;5% off;;
Camiseta Nike Max90 Masculina;Basquete;R$ 332,49 no Pix;R$ 349,99;5% off;;
Nike x Nocta;Casual;R$ 999,99;4.0;Disponível em SNKRS;;
Shorts Nike Swoosh Masculino;Natação & Praia;R$ 389,49 no Pix;R$ 409,99;5% off;;
Camiseta Nike ACG NRG Masculina;Casual;R$ 332,49 no Pix;R$ 349,99;5% off;;
Shorts Nike Solid Icon Masculino;Natação & Praia;R$ 265,99 no Pix;R$ 449,99;41% off;;
Shorts Nike Sneaker Lap Masculino;Natação & Praia;R$ 265,99 no Pix;R$ 279,99;5% off;;
Shorts Nike Sneaker Lap Masculino;Natação & Praia;R$ 389,49 no Pix;R$ 409,99;5% off;;
Nike x NOCTA;Casual;R$ 664,99 no Pix;R$ 699,99;5% off;;
Jaqueta Nike Sportswear Corinthians Masculina;Futebol;R$ 569,99 no Pix;R$ 599,99;5% off;;
Jaqueta Nike JA Masculina;Basquete;R$ 664,99 no Pix;R$ 699,99;5% off;;
Camiseta Nike ACG Tidalpool Masculina;Casual;R$ 218,49 no Pix;R$ 329,99;34% off;;
Camiseta Nike ACG Tidalpool Masculina;Casual;R$ 218,49 no Pix;R$ 329,99;34% off;;
Camiseta Nike Club Masculina;Casual;R$ 218,49 no Pix;R$ 229,99;5% off;3.9;
Camiseta Nike Milwaukee Bucks City Edition Masculina;Basquete;R$ 189,99 no Pix;R$ 229,99;17% off;5.0;
Calça Nike Club Fleece Bungie Masculina;Casual;R$ 427,49 no Pix;R$ 449,99;5% off;;
Camiseta Nike ACG NRG Masculina;Casual;R$ 332,49 no Pix;R$ 349,99;5% off;;
Nike x Nocta Tech Fleece Pant;Casual;R$ 854,99 no Pix;R$ 899,99;5% off;;
Shorts Nike Solid Icon Masculino;Natação & Praia;R$ 265,99 no Pix;R$ 449,99;41% off;;
Shorts Nike Sneaker Lap Masculino;Natação & Praia;R$ 265,99 no Pix;R$ 279,99;5% off;;
Shorts Nike Sneaker Lap Masculino;Natação & Praia;R$ 389,49 no Pix;R$ 409,99;5% off;;
Shorts Nike Sneaker Lap Masculino;Natação & Praia;R$ 389,49 no Pix;R$ 409,99;5% off;;
Jaqueta Nike Sportswear Corinthians Masculina;Futebol;R$ 569,99 no Pix;R$ 599,99;5% off;;
Shorts Nike Club Woven Masculino;Casual;R$ 360,99 no Pix;R$ 379,99;5% off;;
Shorts Nike Tech Fleece Masculino;Casual;R$ 550,99 no Pix;R$ 649,99;15% off;;
Nike x Off-White™;Casual;R$ 1139,99 no Pix;R$ 1.199,99;5% off;;
Camiseta Nike Liverpool Club Essential Masculina;Futebol;R$ 189,99 no Pix;R$ 199,99;5% off;5.0;
Camiseta Nike Max90 Masculina;Basquete;R$ 332,49 no Pix;R$ 349,99;5% off;;
Camiseta Nike Sportswear Tech Pack Masculina;Casual;R$ 313,49 no Pix;R$ 479,99;35% off;5.0;
Camiseta Nike Dri-FIT LeBron Masculina;Basquete;R$ 142,49 no Pix;R$ 249,99;43% off;5.0;
Camiseta Nike Dri-FIT ADV Masculina;Treino & Academia;R$ 341,99 no Pix;R$ 449,99;24% off;4.3;
Camiseta Nike Dri-FIT Running Division Masculina;Corrida;R$ 170,99 no Pix;R$ 199,99;15% off;;
Camisa Nike Liverpool I 2022/23 Jogador Masculina;Futebol;R$ 569,99 no Pix;R$ 599,99;5% off;3.0;
Camiseta Nike Dri-FIT UV Run Division Miler Masculina;Corrida;R$ 132,99 no Pix;R$ 199,99;34% off;5.0;
Calça Nike Club Fleece Masculina;Casual;R$ 313,49 no Pix;R$ 329,99;5% off;4.1;
Camiseta Nike Club Masculina;Casual;R$ 218,49 no Pix;R$ 229,99;5% off;3.9;
Camiseta Nike Sportswear Masculina;Casual;R$ 189,99 no Pix;R$ 199,99;5% off;5.0;
Camiseta Nike Brooklyn Nets Masculina;Basquete;R$ 170,99 no Pix;R$ 229,99;26% off;3.0;
Calça Nike Solo Swoosh Fleece Masculina;Casual;R$ 436,99 no Pix;R$ 549,99;21% off;5.0;
Calça Nike Solo Swoosh Fleece Masculina;Casual;R$ 522,49 no Pix;R$ 549,99;5% off;5.0;
Jaqueta Nike Masculina;Casual;R$ 332,49 no Pix;R$ 349,99;5% off;4.9;
Camisa Nike Liverpool I 2022/23 Jogador Masculina;Futebol;R$ 569,99 no Pix;R$ 599,99;5% off;3.0;
Camiseta Nike Dri-FIT UV Run Division Miler Masculina;Corrida;R$ 132,99 no Pix;R$ 199,99;34% off;5.0;
Camiseta Nike Court Dri-FIT Slam Masculina;Para Jogar Tênis;R$ 294,49 no Pix;R$ 549,99;46% off;;
Nike x MMW;Casual;R$ 379,99 no Pix;R$ 399,99;5% off;;
Camiseta Nike Masculina;Basquete;R$ 180,49 no Pix;R$ 279,99;36% off;5.0;
Shorts Nike Tech Fleece Masculino;Casual;R$ 550,99 no Pix;R$ 649,99;15% off;;
Shorts Jordan Essentials Masculino;Casual;R$ 313,49 no Pix;R$ 329,99;5% off;4.9;
Nike x Off-White™;Casual;R$ 712,49 no Pix;R$ 749,99;5% off;;
Jaqueta Nike Therma-FIT Puffer Masculina;Casual;R$ 797,99 no Pix;R$ 849,99;6% off;5.0;
Blusão Nike Sportswear Tech Fleece Masculino;Casual;R$ 645,99 no Pix;R$ 799,99;19% off;5.0;
Blusão Nike Track Club Fleece Masculino;Corrida;R$ 332,49 no Pix;R$ 499,99;34% off;;
Blusão Nike Solo Swoosh Fleece Masculina;Casual;R$ 427,49 no Pix;R$ 599,99;29% off;;
Nike x Stüssy Acid-Washed Fleece Pants;R$ 636,49 no Pix;R$ 699,99;9% off;;;
Camiseta Nike Dri-FIT Masculina;Corrida;R$ 170,99 no Pix;R$ 229,99;26% off;;
Camiseta Nike Liverpool Masculina;Futebol;R$ 189,99 no Pix;R$ 199,99;5% off;;
Camiseta Nike OC PK 5 Masculina;Casual;R$ 237,49 no Pix;R$ 249,99;5% off;;
Camiseta Nike Liverpool Strike Masculina;Futebol;R$ 256,49 no Pix;R$ 279,99;8% off;2.0;
Blusão Jordan Fleece Zion Masculino;Casual;R$ 465,49 no Pix;R$ 549,99;15% off;5.0;
Shorts Nike Boston Celtics Masculino;Basquete;R$ 237,49 no Pix;R$ 349,99;32% off;4.7;
Camisa Nike PSG I 2022/2023 Jogador Masculina;Futebol;R$ 569,99 no Pix;R$ 599,99;5% off;5.0;
Camiseta Nike Liverpool Pré-Jogo Masculina;Futebol;R$ 322,99 no Pix;R$ 399,99;19% off;;
Calça Nike Club Masculina;Casual;R$ 474,99 no Pix;R$ 499,99;5% off;;
Camiseta Nike Dri-FIT Masculina;Corrida;R$ 170,99 no Pix;R$ 229,99;26% off;;
Camisa Nike PSG IV 2021/22 Jogador Masculina;Futebol;R$ 569,99 no Pix;R$ 599,99;5% off;5.0;
Camiseta Nike Corinthians Masculina;Futebol;R$ 218,49 no Pix;R$ 229,99;5% off;;
Calça Nike Sportswear Brasil Club Masculina;Futebol;R$ 379,99 no Pix;R$ 449,99;16% off;5.0;
Regata Nike Dri-FIT DNA Giannis Antetokounmpo Masculina;Basquete;R$ 379,99 no Pix;R$ 399,99;5% off;;
Camiseta Jordan Paris Masculina;Casual;R$ 332,49 no Pix;R$ 349,99;5% off;;
Camiseta Nike Dri-FIT ADV Run Masculina;Corrida;R$ 265,99 no Pix;R$ 399,99;34% off;4.0;
Camiseta Nike Dri-FIT Masculina;Basquete;R$ 237,49 no Pix;R$ 249,99;5% off;;
Camiseta Nike Max90 LeBron x Liverpool Masculina;Basquete;R$ 208,99 no Pix;R$ 329,99;37% off;5.0;
Camiseta Nike Trail Solar Chase Masculina;Corrida;R$ 275,49 no Pix;R$ 379,99;28% off;;
Shorts Nike Dri-FIT ADV AeroSwift Masculino;Corrida;R$ 322,99 no Pix;R$ 499,99;35% off;5.0;
Camiseta Nike Sportswear Masculina;Casual;R$ 218,49 no Pix;R$ 229,99;5% off;5.0;
Camiseta Nike Brooklyn Nets Masculina;Basquete;R$ 170,99 no Pix;R$ 229,99;26% off;3.0;
Camiseta Nike Masculina;Basquete;R$ 180,49 no Pix;R$ 279,99;36% off;5.0;
Calça Nike Club Fleece Masculina;Casual;R$ 313,49 no Pix;R$ 329,99;5% off;4.1;
Camisa Nike Austrália II 2023/24 Torcedor Pro Masculina;Futebol;R$ 379,99 no Pix;R$ 399,99;5% off;5.0;
Camiseta Nike OC PK 5 Masculina;Casual;R$ 237,49 no Pix;R$ 249,99;5% off;;
Camiseta Nike Liverpool Strike Masculina;Futebol;R$ 256,49 no Pix;R$ 279,99;8% off;2.0;
Colete Nike Dri-FIT Park Unissex;Futebol;R$ 142,49 no Pix;R$ 149,99;5% off;;
Colete Nike Dri-FIT Park Unissex;Futebol;R$ 142,49 no Pix;R$ 149,99;5% off;;
Camiseta Nike Court Dri-FIT Slam Masculina;Para Jogar Tênis;R$ 313,49 no Pix;R$ 499,99;37% off;;
Camiseta Jordan Zion Masculina;Casual;R$ 237,49 no Pix;R$ 249,99;5% off;;
Jaqueta Nike Paris Saint-German Masculina;Futebol;R$ 759,99 no Pix;R$ 799,99;5% off;5.0;
Jaqueta Nike SB Chore Unissex;Skate;R$ 759,99 no Pix;R$ 799,99;5% off;;
Calça Nike Air Masculino;Casual;R$ 455,99 no Pix;R$ 599,99;24% off;5.0;
Blusão Nike Barcelona III Club French Terry Masculino;Futebol;R$ 284,99 no Pix;R$ 599,99;53% off;;
Nike ISPA;Casual;R$ 1234,99 no Pix;R$ 1.299,99;5% off;;
Camiseta Nike Dri-FIT Strike Liverpool Maculina;Futebol;R$ 370,49 no Pix;R$ 549,99;33% off;;
Camiseta Nike Dri-FIT Fleece Masculina;Treino & Academia;R$ 218,49 no Pix;R$ 399,99;45% off;;
Regata Nike New Orleans Pelicans Icon Edition 2022/23 Masculina;Basquete;R$ 484,49 no Pix;R$ 699,99;31% off;;
Blusão Nike Therma-FIT NBA Los Angeles Lakers Masculino;Basquete;R$ 569,99 no Pix;R$ 599,99;5% off;2.0;
Camisa Nike Liverpool II 2023/24 Jogador Masculina;Futebol;R$ 664,99 no Pix;R$ 699,99;5% off;;
Camiseta Nike Run Energy Masculina;Corrida;R$ 246,99 no Pix;R$ 349,99;29% off;;
Camiseta Nike Run Energy Masculina;Corrida;R$ 246,99 no Pix;R$ 349,99;29% off;;
Shorts Nike Sportswear Brasil Club Masculino;Futebol;R$ 332,49 no Pix;R$ 399,99;17% off;;
Nike x MMW;Casual;R$ 1130,49 no Pix;R$ 1.199,99;6% off;;
Regata Nike Phoenix Suns Icon Edition 2023/24 Masculina;Basquete;R$ 569,99 no Pix;R$ 649,99;12% off;5.0;
Shorts Nike Woven Masculino;Casual;R$ 294,49 no Pix;R$ 429,99;32% off;5.0;
Shorts Nike Life Woven Masculino;Casual;R$ 332,49 no Pix;R$ 499,99;34% off;;
Nike x MMW;Casual;R$ 797,99 no Pix;R$ 1.199,99;34% off;;
"Calça Nike ACG ""Wolf Tree"" Masculina";Casual;R$ 607,99 no Pix;R$ 799,99;24% off;3.0;
Jordan x J Balvin;Casual;R$ 379,99 no Pix;R$ 399,99;5% off;5.0;
Camiseta Jordan Dri-FIT Strike PSG Maculina;Futebol;R$ 332,49 no Pix;R$ 549,99;40% off;;
Camiseta Nike PSG Strike Masculina;Futebol;R$ 199,49 no Pix;R$ 329,99;40% off;;
Camiseta Nike Dri-FIT Fleece Masculina;Treino & Academia;R$ 218,49 no Pix;R$ 399,99;45% off;;
Camisa Nike Liverpool III 2023/24 Jogador Masculina;Futebol;R$ 664,99 no Pix;R$ 699,99;5% off;;
Camiseta Nike Sportswear Masculina;Casual;R$ 189,99 no Pix;R$ 199,99;5% off;;
Nike ISPA;Casual;R$ 1234,99 no Pix;R$ 1.299,99;5% off;;
Camiseta Nike Dri-FIT Strike Liverpool Maculina;Futebol;R$ 370,49 no Pix;R$ 549,99;33% off;;
Blusão Nike Therma-FIT NBA Los Angeles Lakers Masculino;Basquete;R$ 569,99 no Pix;R$ 599,99;5% off;2.0;
Blusão Nike Barcelona III Club French Terry Masculino;Futebol;R$ 284,99 no Pix;R$ 599,99;53% off;;
Regata Nike Brasil Masculina;Basquete;R$ 1899,99 no Pix;R$ 1.999,99;5% off;;
Jaqueta Nike Inglaterra I Academy Pro Masculina;Futebol;R$ 664,99 no Pix;R$ 699,99;5% off;;
Camiseta Jordan Polo Masculina;Casual;R$ 227,99 no Pix;R$ 379,99;40% off;5.0;
Camisa Nike Atlético de Madrid III 2023/24 Torcedor Pro Masculina;Futebol;R$ 379,99 no Pix;R$ 399,99;5% off;;
Camiseta Nike JDI Swoosh Masculina;Basquete;R$ 265,99 no Pix;R$ 279,99;5% off;;
Jaqueta Nike Sportswear Sherpa Masculina;Casual;R$ 854,99 no Pix;R$ 899,99;5% off;3.0;
Camiseta Nike Court Slam Masculina;Para Jogar Tênis;R$ 151,99 no Pix;R$ 249,99;39% off;;
Camiseta Nike Club Crew Masculina;Casual;R$ 341,99 no Pix;R$ 449,99;24% off;;
Camiseta Nike M90 LeBron Masculina;Basquete;R$ 265,99 no Pix;R$ 329,99;19% off;;
Shorts Jordan Essential Woven Masculino;Casual;R$ 313,49 no Pix;R$ 329,99;5% off;5.0;
Blusão Nike Dri-FIT Form GFX Masculino;Treino & Academia;R$ 474,99 no Pix;R$ 499,99;5% off;;
Blusão Jordan Essentials Masculino;Casual;R$ 474,99 no Pix;R$ 499,99;5% off;;
Blusão Nike Club Fleece+ Masculino;Casual;R$ 379,99 no Pix;R$ 399,99;5% off;5.0;
Blusão Jordan Flight MVP Masculino;Casual;R$ 522,49 no Pix;R$ 549,99;5% off;5.0;
Camisa Nike Holanda I 2024/25 Torcedor Pro Masculina;Futebol;R$ 379,99 no Pix;R$ 399,99;5% off;4.0;
Calça Nike Tech Fleece Masculina;Casual;R$ 436,99 no Pix;R$ 699,99;38% off;5.0;
Camiseta Nike Inglaterra Pré-Jogo Masculina;Futebol;R$ 284,99 no Pix;R$ 399,99;29% off;;
Blusão Nike Sportswear França Club Fleece Masculino;Futebol;R$ 427,49 no Pix;R$ 449,99;5% off;;
Camiseta Nike Liverpool.Strike Masculina;Futebol;R$ 313,49 no Pix;R$ 549,99;43% off;;
Camiseta Jordan Fleece MVP Crew Masculina;Casual;R$ 208,99 no Pix;R$ 249,99;16% off;;
Jaqueta Nike Strike Barcelona Hino Masculina;Futebol;R$ 427,49 no Pix;R$ 899,99;53% off;;
Camiseta Nike Barcelona Essential Masculina;Futebol;R$ 189,99 no Pix;R$ 249,99;24% off;;
Shorts Nike Sportswear Woven Masculino;Casual;R$ 522,49 no Pix;R$ 549,99;5% off;;
Jaqueta Nike Running Division UV Masculina;Corrida;R$ 674,49 no Pix;R$ 899,99;25% off;;
Jaqueta Nike Barcelona Academy Pro Masculina;Futebol;R$ 664,99 no Pix;R$ 699,99;5% off;;
Jaqueta Nike Liverpool Hino FC Strike Masculina;Futebol;R$ 645,99 no Pix;R$ 699,99;8% off;;
Nike x MMW;Casual;R$ 1130,49 no Pix;R$ 1.199,99;6% off;5.0;
Camiseta Nike Paris Saint-Germain Strike Masculina;Futebol;R$ 265,99 no Pix;R$ 299,99;11% off;5.0;
Camiseta Nike Paris Saint-Germain Strike Masculina;Futebol;R$ 284,99 no Pix;R$ 299,99;5% off;5.0;
Shorts Nike Corinthians Cargo Masculino;Futebol;R$ 332,49 no Pix;R$ 349,99;5% off;;
Blusão Jordan Flight MVP Masculino;Casual;R$ 569,99 no Pix;R$ 599,99;5% off;;
Shorts Nike Sportswear Brasil Club Masculino;Futebol;R$ 332,49 no Pix;R$ 399,99;17% off;;
Shorts Nike Dri-FIT Run Division Challenger Masculino;Corrida;R$ 208,99 no Pix;R$ 299,99;30% off;1.0;
Nike x MMW;Casual;R$ 1130,49 no Pix;R$ 1.199,99;6% off;;
Jaqueta Nike Sportswear Masculina;Casual;R$ 1234,99 no Pix;R$ 1.299,99;5% off;;
Camisa Nike Liverpool III 2023/24 Jogador Masculina;Futebol;R$ 664,99 no Pix;R$ 699,99;5% off;;
Camiseta Nike Sportswear Masculina;Casual;R$ 161,49 no Pix;R$ 199,99;19% off;;
Regata Nike Brasil Standard Issue Masculina;Futebol;R$ 284,99 no Pix;R$ 349,99;19% off;4.7;
Regata Nike Chicago Bulls Statement Edition 2022/23 Masculina;Basquete;R$ 474,99 no Pix;R$ 699,99;32% off;5.0;
Jaqueta Nike Paris Saint-German Strike Masculina;Futebol;R$ 759,99 no Pix;R$ 799,99;5% off;;
Calça Nike Masculina;Corrida;R$ 208,99 no Pix;R$ 399,99;48% off;4.6;
Camisa Nike Holanda II 2024/25 Torcedor Pro Masculina;Futebol;R$ 379,99 no Pix;R$ 399,99;5% off;4.0;
Jaqueta Nike Paris Saint-German Masculina;Futebol;R$ 759,99 no Pix;R$ 799,99;5% off;5.0;
Jaqueta Nike SB Chore Unissex;Skate;R$ 759,99 no Pix;R$ 799,99;5% off;;
Camisa Nike Atlético de Madrid III 2023/24 Torcedor Pro Masculina;Futebol;R$ 379,99 no Pix;R$ 399,99;5% off;;
Regata Nike Court Slam Masculina;Para Jogar Tênis;R$ 313,49 no Pix;R$ 499,99;37% off;;
Regata Nike Brasil Masculina;Basquete;R$ 1899,99 no Pix;R$ 1.999,99;5% off;;
Jaqueta Nike Inglaterra I Academy Pro Masculina;Futebol;R$ 664,99 no Pix;R$ 699,99;5% off;;
Calça Nike Sportswear Corinthians Jogger Masculina;Futebol;R$ 427,49 no Pix;R$ 449,99;5% off;;
Jaqueta Nike Dri-FIT Masculina;Corrida;R$ 550,99 no Pix;R$ 749,99;27% off;5.0;
Blusão Nike Sportswear Tech Fleece Masculino;Casual;R$ 484,49 no Pix;R$ 649,99;25% off;3.5;
Jaqueta Nike Sportswear Sherpa Masculina;Casual;R$ 854,99 no Pix;R$ 899,99;5% off;3.0;
Jaqueta Nike Repel Miler Masculina;Corrida;R$ 408,49 no Pix;R$ 599,99;32% off;5.0;
Blusão Nike Barcelona III Club French Terry Masculino;Futebol;R$ 284,99 no Pix;R$ 599,99;53% off;;
Blusão Jordan Flight MVP Masculino;Casual;R$ 474,99 no Pix;R$ 499,99;5% off;;
Camiseta Nike Paris Saint-Germain Academy Pro Masculina;Futebol;R$ 341,99 no Pix;R$ 399,99;15% off;;
Camisa Nike Paris Saint-Germain I 2023/24 Jogador Masculina;Futebol;R$ 664,99 no Pix;R$ 699,99;5% off;4.5;
Camiseta Nike Vintage Masculina;Treino & Academia;R$ 218,49 no Pix;R$ 229,99;5% off;;
Camiseta Nike Vintage Masculina;Treino & Academia;R$ 218,49 no Pix;R$ 229,99;5% off;;
Camisa Nike Liverpool II 2023/24 Jogador Masculina;Futebol;R$ 664,99 no Pix;R$ 699,99;5% off;;
Regata Nike NBA Stephen Curry Golden State Warriors 2024/25 Select Series Masculina;Basquete;R$ 598,49 no Pix;R$ 699,99;15% off;;
Camiseta Nike Run Energy Masculina;Corrida;R$ 246,99 no Pix;R$ 349,99;29% off;;
Camiseta Nike Dri-FIT Giannis Masculina;Basquete;R$ 265,99 no Pix;R$ 279,99;5% off;;
Camiseta Jordan Masculina;Casual;R$ 313,49 no Pix;R$ 329,99;5% off;4.8;
Personalize;Camisa Nike Brasil II 2022/23 Jogador Masculina;Futebol;R$ 664,99 no Pix;R$ 699,99;5% off;5.0
Camiseta Nike Dri-FIT ADV Masculina;Treino & Academia;R$ 360,99 no Pix;R$ 499,99;28% off;5.0;
Calça Nike Brasil Strike Elite Masculina;Futebol;R$ 664,99 no Pix;R$ 699,99;5% off;5.0;
Regata Nike NBA Cleveland Cavaliers Icon Edition 2022/23 Masculina;Basquete;R$ 531,99 no Pix;R$ 699,99;24% off;5.0;
Regata Nike Denver Nuggets Icon Edition 2022/23 Masculina;Basquete;R$ 474,99 no Pix;R$ 699,99;32% off;4.7;
Jaqueta Nike Barcelona Academy Pro Masculina;Futebol;R$ 664,99 no Pix;R$ 699,99;5% off;;
Camisa Nike Barcelona IV 2023/24 Jogador Masculina;Futebol;R$ 379,99 no Pix;R$ 699,99;46% off;;
Blusão Nike SB Fleece Unissex;Skateboarding;R$ 427,49 no Pix;R$ 649,99;34% off;5.0;
Shorts Nike Liverpool III 2023/24 Torcedor Pro Masculino;Futebol;R$ 227,99 no Pix;R$ 349,99;35% off;;
Jaqueta Nike Life Masculina;Casual;R$ 550,99 no Pix;R$ 799,99;31% off;;
Camisa Nike Estados Unidos II 2024/25 Torcedor Pro Masculina;Futebol;R$ 379,99 no Pix;R$ 399,99;5% off;;
Camisa Nike Paris Saint-Germain III 2024/25 Torcedor Pro Masculina;Futebol;R$ 379,99 no Pix;R$ 399,99;5% off;;
Camiseta Nike Barcelona Strike Masculina;Futebol;R$ 284,99 no Pix;R$ 299,99;5% off;5.0;
Camiseta Nike Paris Saint-Germain Strike Masculina;Futebol;R$ 284,99 no Pix;R$ 299,99;5% off;2.0;
Camiseta Nike Run Division Rise 365 Masculina;Corrida;R$ 284,99 no Pix;R$ 379,99;25% off;5.0;
Blusão Nike SB Fleece HD Unissex;Skate;R$ 322,99 no Pix;R$ 399,99;19% off;;
Calça Nike Woven Tech Masculina;Casual;R$ 474,99 no Pix;R$ 699,99;32% off;5.0;
Camisa Polo Nike Rafa Nadal Masculina;Para Jogar Tênis;R$ 218,49 no Pix;R$ 499,99;56% off;5.0;
Camiseta Nike Sportswear Max90 Masculina;Casual;R$ 313,49 no Pix;R$ 329,99;5% off;;
Camiseta Nike Sportswear Max90 Masculina;Casual;R$ 227,99 no Pix;R$ 329,99;31% off;;
Camiseta Nike Sportswear Masculina;Casual;R$ 170,99 no Pix;R$ 229,99;26% off;;
Camiseta Nike Sportswear Max90 Masculina;Casual;R$ 265,99 no Pix;R$ 279,99;5% off;;
SB Dunk Low Pro;Casual;R$ 999,99;Disponível em SNKRS;;;
Jaqueta Nike Dri-FIT UV ADV Masculina;Treino & Academia;R$ 683,99 no Pix;R$ 899,99;24% off;;
Camisa Nike PSG III 2023/24 Torcedor Pro Masculina;Futebol;R$ 379,99 no Pix;R$ 399,99;5% off;;
Camiseta Nike Track Club Masculina;Corrida;R$ 208,99 no Pix;R$ 249,99;16% off;;
